PROJECT_ID,SAMPLE_ID,INCLUDE,BLANK_OR_CONTROL,ENRICHMENT,ENV_BIOME,ENV_FEATURE,ENV_MATERIAL,LATITUDE,LONGITUDE,PH,TEMPERATURE
DCO_BMS,AG170420_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,BC180410_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,BS180407_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,BS180407_s,null,null,null,null,null,null,null,null,null,null
DCO_BMS,BW180407_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,CH180410_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,CH180410_s,null,null,null,null,null,null,null,null,null,null
DCO_BMS,CI180408_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,CI180408_s,null,null,null,null,null,null,null,null,null,null
DCO_BMS,CL180410_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,CL180410_s,null,null,null,null,null,null,null,null,null,null
DCO_BMS,CV180410_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,CV180410_s,null,null,null,null,null,null,null,null,null,null
DCO_BMS,CW180415_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,CW180415_s,null,null,null,null,null,null,null,null,null,null
DCO_BMS,CZ180409_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,CZ180409_s,null,null,null,null,null,null,null,null,null,null
DCO_BMS,DS170420_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,ER180415_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,ER180415_s,null,null,null,null,null,null,null,null,null,null
DCO_BMS,GE180403_s,null,null,null,null,null,null,null,null,null,null
DCO_BMS,HA180403_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,HA180403_s,null,null,null,null,null,null,null,null,null,null
DCO_BMS,LB180410_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,LB180410_s,null,null,null,null,null,null,null,null,null,null
DCO_BMS,LE180416_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,LE180416_s,null,null,null,null,null,null,null,null,null,null
DCO_BMS,LH180406_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,LH180406_s,null,null,null,null,null,null,null,null,null,null
DCO_BMS,LP180406_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,LP180406_s,null,null,null,null,null,null,null,null,null,null
DCO_BMS,LW180405_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,LW180405_s,null,null,null,null,null,null,null,null,null,null
DCO_BMS,MC180404_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,MC180404_s,null,null,null,null,null,null,null,null,null,null
DCO_BMS,PC140111_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,PS180405_s,null,null,null,null,null,null,null,null,null,null
DCO_BMS,PX180416_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,PX180416_s,null,null,null,null,null,null,null,null,null,null
DCO_BMS,RC180404_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,RC180404_s,null,null,null,null,null,null,null,null,null,null
DCO_BMS,RR180407_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,RR180407_s,null,null,null,null,null,null,null,null,null,null
DCO_BMS,SC180411_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,SC180411_s,null,null,null,null,null,null,null,null,null,null
DCO_BMS,XF180416_f,null,null,null,null,null,null,null,null,null,null
DCO_BMS,XS180416_s,null,null,null,null,null,null,null,null,null,null
DCO_BMS,YR180404_f,null,null,null,null,null,null,null,null,null,null
DCO_BOM,1039_Itavaara_OL_KR6_422m,TRUE,FALSE,FALSE,"terrestrial biome",borehole,rock,null,null,7.9,9.5
