Effort,Project,Sample,Remark
DCL,TIA,AC3_1_2,CoDL_original
DCL,TIA,AC3_1,CoDL_original
DCL,TIA,AC3_2_2,CoDL_original
DCL,TIA,AC3_2,CoDL_original
DCL,TIA,AC3_TOT_2,CoDL_original
DCL,TIA,AC5_1_2,CoDL_original
DCL,TIA,AC5_1,CoDL_original
DCL,TIA,AC5_2_2,CoDL_original
DCL,TIA,AC5_2,CoDL_original
DCL,TIA,AC5_TOT_2,CoDL_original
DCL,TIA,AC5_TOT,CoDL_original
DCL,TIA,CVA_1_2,CoDL_original
DCL,TIA,GA_2,CoDL_original
DCL,TIA,GAR_1_2,CoDL_original
DCL,TIA,GAR_1,CoDL_original
DCL,TIA,GAR_2_2,CoDL_original
DCL,TIA,GAR_2,CoDL_original
DCL,TIA,GAR_T_2,CoDL_original
DCL,TIA,GEK_1_2,CoDL_original
DCL,TIA,GEK_1,CoDL_original
DCL,TIA,GEK_2_2,CoDL_original
DCL,TIA,GEK_T_2,CoDL_original
DCL,TIA,GEK1_2,CoDL_original
DCL,TIA,GEK3_2,CoDL_original
DCL,TIA,GEK3,CoDL_original
DCO,BKR,Aar_59E_13H2,CoDL_original
DCO,BKR,Aar_59E_21H2,CoDL_original
DCO,BKR,Aar_59E_25H2,CoDL_original
DCO,BKR,Aar_65C_4H2,CoDL_original
DCO,BKR,Aar_DrillFluid_59E_NC,CoDL_original
DCO,BKR,Knox_60B_10H2,CoDL_original
DCO,BKR,Knox_60B_10H2.2,CoDL_original
DCO,BKR,Knox_60B_28H2,CoDL_original
DCO,BKR,Knox_63E_24H2,CoDL_original
DCO,BKR,Knox_63E_6H2,CoDL_original
DCO,BKR,Knox_65C_7H2,CoDL_original
DCO,BKR,Knox_DrillFluid_63E_NC,CoDL_original
DCO,BMS,AG170420_f,CoDL_original
DCO,BMS,BC180410_f,CoDL_original
DCO,BMS,BS180407_f,CoDL_original
DCO,BMS,BS180407_s,CoDL_original
DCO,BMS,BW180407_f,CoDL_original
DCO,BMS,CH180410_f,CoDL_original
DCO,BMS,CH180410_s,CoDL_original
DCO,BMS,CI180408_f,CoDL_original
DCO,BMS,CI180408_s,CoDL_original
DCO,BMS,CL180410_f,CoDL_original
DCO,BMS,CL180410_s,CoDL_original
DCO,BMS,CV180410_f,CoDL_original
DCO,BMS,CV180410_s,CoDL_original
DCO,BMS,CW180415_f,CoDL_original
DCO,BMS,CW180415_s,CoDL_original
DCO,BMS,CZ180409_f,CoDL_original
DCO,BMS,CZ180409_s,CoDL_original
DCO,BMS,DS170420_f,CoDL_original
DCO,BMS,ER180415_f,CoDL_original
DCO,BMS,ER180415_s,CoDL_original
DCO,BMS,Extraction_blank,CoDL_original
DCO,BMS,GE180403_s,CoDL_original
DCO,BMS,HA180403_f,CoDL_original
DCO,BMS,HA180403_s,CoDL_original
DCO,BMS,LB180410_f,CoDL_original
DCO,BMS,LB180410_s,CoDL_original
DCO,BMS,LE180416_f,CoDL_original
DCO,BMS,LE180416_s,CoDL_original
DCO,BMS,LH180406_f,CoDL_original
DCO,BMS,LH180406_s,CoDL_original
DCO,BMS,LP180406_f,CoDL_original
DCO,BMS,LP180406_s,CoDL_original
DCO,BMS,LW180405_f,CoDL_original
DCO,BMS,LW180405_s,CoDL_original
DCO,BMS,MC180404_f,CoDL_original
DCO,BMS,MC180404_s,CoDL_original
DCO,BMS,PC140111_f,CoDL_original
DCO,BMS,PS180405_s,CoDL_original
DCO,BMS,PX180416_f,CoDL_original
DCO,BMS,PX180416_s,CoDL_original
DCO,BMS,RC180404_f,CoDL_original
DCO,BMS,RC180404_s,CoDL_original
DCO,BMS,RR180407_f,CoDL_original
DCO,BMS,RR180407_s,CoDL_original
DCO,BMS,SC180411_f,CoDL_original
DCO,BMS,SC180411_s,CoDL_original
DCO,BMS,XF180416_f,CoDL_original
DCO,BMS,XS180416_s,CoDL_original
DCO,BMS,YR180404_f,CoDL_original
DCO,BRZ,A4B1_Arch,CoDL_original
DCO,BRZ,A4B5_Arch,CoDL_original
DCO,BRZ,A4D1_Bac,CoDL_original
DCO,BRZ,B30_1_Arch,CoDL_original
DCO,BRZ,B30_2_Arch,CoDL_original
DCO,BRZ,B30_3_Arch,CoDL_original
DCO,BRZ,B30_4_Arch,CoDL_original
DCO,BRZ,B30_5_Arch,CoDL_original
DCO,BRZ,Blank_Dialysis_New,CoDL_original
DCO,BRZ,Blank_Dialysis_Old,CoDL_original
DCO,BRZ,CRO_CSW1_1A_43660,CoDL_original
DCO,BRZ,CRO_CSW1_1A_43690,CoDL_original
DCO,BRZ,CRO_CSW1_1B_43660,CoDL_original
DCO,BRZ,CRO_CSW1_1B_43690,CoDL_original
DCO,BRZ,CRO_CSW1_1C_43660,CoDL_original
DCO,BRZ,CRO_CSW1_1C_43690,CoDL_original
DCO,BRZ,CRO_CSW1_3A_43660,CoDL_original
DCO,BRZ,CRO_CSW1_3A_43690,CoDL_original
DCO,BRZ,CRO_CSW1_3B_43660,CoDL_original
DCO,BRZ,CRO_CSW1_3B_43690,CoDL_original
DCO,BRZ,CRO_CSW1_3C_43690,CoDL_original
DCO,BRZ,CRO_CSW10R_42036,CoDL_original
DCO,BRZ,CRO_CSW10R_43813,CoDL_original
DCO,BRZ,CRO_CSW14R_43813,CoDL_original
DCO,BRZ,CRO_CSW1R_42036,CoDL_original
DCO,BRZ,CRO_CSW1R_43813,CoDL_original
DCO,BRZ,CRO_CSW2R_42036,CoDL_original
DCO,BRZ,CRO_CSW2R_43813,CoDL_original
DCO,BRZ,CRO_ISA,CoDL_original
DCO,BRZ,CRO_ISAA,CoDL_original
DCO,BRZ,CRO_ISAB,CoDL_original
DCO,BRZ,CRO_ISAC,CoDL_original
DCO,BRZ,CRO_ISAD,CoDL_original
DCO,BRZ,CRO_ISAE,CoDL_original
DCO,BRZ,CRO_ISAF,CoDL_original
DCO,BRZ,CRO_ISAG,CoDL_original
DCO,BRZ,CRO_ISAH,CoDL_original
DCO,BRZ,CRO_ISAI,CoDL_original
DCO,BRZ,CRO_ISAJ,CoDL_original
DCO,BRZ,CRO_ISB,CoDL_original
DCO,BRZ,CRO_ISC,CoDL_original
DCO,BRZ,CRO_ISD,CoDL_original
DCO,BRZ,CRO_ISE,CoDL_original
DCO,BRZ,CRO_ISF,CoDL_original
DCO,BRZ,CRO_ISG,CoDL_original
DCO,BRZ,CRO_ISH,CoDL_original
DCO,BRZ,CRO_ISI,CoDL_original
DCO,BRZ,CRO_ISJ,CoDL_original
DCO,BRZ,CRO_ISK,CoDL_original
DCO,BRZ,CRO_ISL,CoDL_original
DCO,BRZ,CRO_ISM,CoDL_original
DCO,BRZ,CRO_ISN,CoDL_original
DCO,BRZ,CRO_ISO,CoDL_original
DCO,BRZ,CRO_ISP,CoDL_original
DCO,BRZ,CRO_ISQ,CoDL_original
DCO,BRZ,CRO_ISR,CoDL_original
DCO,BRZ,CRO_ISS,CoDL_original
DCO,BRZ,CRO_IST,CoDL_original
DCO,BRZ,CRO_ISU,CoDL_original
DCO,BRZ,CRO_ISV,CoDL_original
DCO,BRZ,CRO_ISW,CoDL_original
DCO,BRZ,CRO_ISX,CoDL_original
DCO,BRZ,CRO_ISY,CoDL_original
DCO,BRZ,CRO_ISZ,CoDL_original
DCO,BRZ,CRO_MC1,CoDL_original
DCO,BRZ,CRO_MC10,CoDL_original
DCO,BRZ,CRO_MC11,CoDL_original
DCO,BRZ,CRO_MC12,CoDL_original
DCO,BRZ,CRO_MC13,CoDL_original
DCO,BRZ,CRO_MC14,CoDL_original
DCO,BRZ,CRO_MC15,CoDL_original
DCO,BRZ,CRO_MC16,CoDL_original
DCO,BRZ,CRO_MC17,CoDL_original
DCO,BRZ,CRO_MC18,CoDL_original
DCO,BRZ,CRO_MC19,CoDL_original
DCO,BRZ,CRO_MC2,CoDL_original
DCO,BRZ,CRO_MC20,CoDL_original
DCO,BRZ,CRO_MC22,CoDL_original
DCO,BRZ,CRO_MC23,CoDL_original
DCO,BRZ,CRO_MC24,CoDL_original
DCO,BRZ,CRO_MC25,CoDL_original
DCO,BRZ,CRO_MC26,CoDL_original
DCO,BRZ,CRO_MC27,CoDL_original
DCO,BRZ,CRO_MC28,CoDL_original
DCO,BRZ,CRO_MC29,CoDL_original
DCO,BRZ,CRO_MC3,CoDL_original
DCO,BRZ,CRO_MC30,CoDL_original
DCO,BRZ,CRO_MC31,CoDL_original
DCO,BRZ,CRO_MC32,CoDL_original
DCO,BRZ,CRO_MC33,CoDL_original
DCO,BRZ,CRO_MC34,CoDL_original
DCO,BRZ,CRO_MC35,CoDL_original
DCO,BRZ,CRO_MC36,CoDL_original
DCO,BRZ,CRO_MC37,CoDL_original
DCO,BRZ,CRO_MC38,CoDL_original
DCO,BRZ,CRO_MC39,CoDL_original
DCO,BRZ,CRO_MC4,CoDL_original
DCO,BRZ,CRO_MC40,CoDL_original
DCO,BRZ,CRO_MC41,CoDL_original
DCO,BRZ,CRO_MC42,CoDL_original
DCO,BRZ,CRO_MC5,CoDL_original
DCO,BRZ,CRO_MC6,CoDL_original
DCO,BRZ,CRO_MC7,CoDL_original
DCO,BRZ,CRO_MC8,CoDL_original
DCO,BRZ,CRO_MC9,CoDL_original
DCO,BRZ,CRO_MCF1_3,CoDL_original
DCO,BRZ,CRO_MCF10_12,CoDL_original
DCO,BRZ,CRO_MCF13_15,CoDL_original
DCO,BRZ,CRO_MCF16_18,CoDL_original
DCO,BRZ,CRO_MCF19_21,CoDL_original
DCO,BRZ,CRO_MCF22_24,CoDL_original
DCO,BRZ,CRO_MCF25_27,CoDL_original
DCO,BRZ,CRO_MCF28_30,CoDL_original
DCO,BRZ,CRO_MCF31_33,CoDL_original
DCO,BRZ,CRO_MCF34_36,CoDL_original
DCO,BRZ,CRO_MCF37_39,CoDL_original
DCO,BRZ,CRO_MCF4_6,CoDL_original
DCO,BRZ,CRO_MCF40_42,CoDL_original
DCO,BRZ,CRO_MCF7_9,CoDL_original
DCO,BRZ,CRO_QV1_1A_43660,CoDL_original
DCO,BRZ,CRO_QV1_1A_43690,CoDL_original
DCO,BRZ,CRO_QV1_1B_43660,CoDL_original
DCO,BRZ,CRO_QV1_1B_43690,CoDL_original
DCO,BRZ,CRO_QV1_1C_43660,CoDL_original
DCO,BRZ,CRO_QV1_1C_43690,CoDL_original
DCO,BRZ,CRO_QV1_2A_43660,CoDL_original
DCO,BRZ,CRO_QV1_2A_43690,CoDL_original
DCO,BRZ,CRO_QV1_2B_43660,CoDL_original
DCO,BRZ,CRO_QV1_2B_43690,CoDL_original
DCO,BRZ,CRO_QV1_2C_43690,CoDL_original
DCO,BRZ,CRO_QV42R_42036,CoDL_original
DCO,BRZ,CSWold_43536,CoDL_original
DCO,BRZ,CSWold_43627,CoDL_original
DCO,BRZ,CSWold_A_43690,CoDL_original
DCO,BRZ,CSWold_A_43812,CoDL_original
DCO,BRZ,KLT_A4A_43569,CoDL_original
DCO,BRZ,KLT_A4B_43569,CoDL_original
DCO,BRZ,KLT_A4D_43569,CoDL_original
DCO,BRZ,KLT_B30_43569,CoDL_original
DCO,BRZ,KLT_DLB_43569,CoDL_original
DCO,BRZ,N08A_43657,CoDL_original
DCO,BRZ,N08A_A_43812,CoDL_original
DCO,BRZ,N08A_B_43690,CoDL_original
DCO,BRZ,N08Aa_43689,CoDL_original
DCO,BRZ,N08B_43657,CoDL_original
DCO,BRZ,N08B_A_43690,CoDL_original
DCO,BRZ,N08B_A_43812,CoDL_original
DCO,BRZ,N08Ba_43689,CoDL_original
DCO,BRZ,N08Bb_43689,CoDL_original
DCO,BRZ,N08Bc_43689,CoDL_original
DCO,BRZ,N08C_A_43690,CoDL_original
DCO,BRZ,N08C_A_43812,CoDL_original
DCO,BRZ,N1A_43689,CoDL_original
DCO,BRZ,N5A_43689,CoDL_original
DCO,BRZ,Serp_CRO_8A_43566,CoDL_original
DCO,BRZ,Serp_CRO_8A_43688,CoDL_original
DCO,BRZ,Serp_CRO_8B_AprC11,CoDL_original
DCO,BRZ,Serp_CRO_8B_AprD11,CoDL_original
DCO,BRZ,Serp_CRO_B08B_C_43537,CoDL_original
DCO,BRZ,Serp_CRO_CarboyBlank_43537,CoDL_original
DCO,BRZ,Serp_CRO_CSW_43688,CoDL_original
DCO,BRZ,Serp_CRO_CSW_insitu_43628,CoDL_original
DCO,BRZ,Serp_CRO_CSW_insitu_43689,CoDL_original
DCO,BRZ,Serp_CRO_CSW_insitu_43811,CoDL_original
DCO,BRZ,Serp_CRO_CSW_old_C_43537,CoDL_original
DCO,BRZ,Serp_CRO_CSW_soil1R_41699,CoDL_original
DCO,BRZ,Serp_CRO_CSW_soil2R_41699,CoDL_original
DCO,BRZ,Serp_CRO_CSW1_1A_43537,CoDL_original
DCO,BRZ,Serp_CRO_CSW1_2A_43537,CoDL_original
DCO,BRZ,Serp_CRO_CSW1_3B_43537,CoDL_original
DCO,BRZ,Serp_CRO_CSW1_4A_43537,CoDL_original
DCO,BRZ,Serp_CRO_CSW1_5A_43537,CoDL_original
DCO,BRZ,Serp_CRO_CSW10R,CoDL_original
DCO,BRZ,Serp_CRO_CSW11ABCD_43628,CoDL_original
DCO,BRZ,Serp_CRO_CSW11B_43537,CoDL_original
DCO,BRZ,Serp_CRO_CSW12B_43537,CoDL_original
DCO,BRZ,Serp_CRO_CSW12C_43537,CoDL_original
DCO,BRZ,Serp_CRO_CSW13A_43537,CoDL_original
DCO,BRZ,Serp_CRO_CSW13C_43537,CoDL_original
DCO,BRZ,Serp_CRO_CSW13R,CoDL_original
DCO,BRZ,Serp_CRO_CSW14R,CoDL_original
